model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio,combo_label,weight_market_sanity,weight_steam,abs_cal_error_pp
25%+,259,103,39.8,32.0,41.1,1.24,mkt=0.080|steam=0.060,0.08,0.06,7.799999999999997
0-5%,3606,82,2.3,3.4,3.4,0.66,mkt=0.080|steam=0.080,0.08,0.08,1.1
5-7%,3778,177,4.7,6.2,6.6,0.76,mkt=0.080|steam=0.080,0.08,0.08,1.5
7-10%,2455,181,7.4,8.3,9.9,0.89,mkt=0.080|steam=0.080,0.08,0.08,0.9000000000000004
10-15%,4251,505,11.9,11.8,14.3,1.0,mkt=0.080|steam=0.080,0.08,0.08,0.09999999999999964
15-25%,2658,603,22.7,19.0,24.7,1.19,mkt=0.080|steam=0.080,0.08,0.08,3.6999999999999993
25%+,271,107,39.5,32.0,41.5,1.23,mkt=0.080|steam=0.080,0.08,0.08,7.5
0-5%,3759,85,2.3,3.4,3.4,0.67,mkt=0.080|steam=0.100,0.08,0.1,1.1
5-7%,3674,180,4.9,6.1,6.7,0.8,mkt=0.080|steam=0.100,0.08,0.1,1.1999999999999993
7-10%,2436,187,7.7,8.3,9.9,0.93,mkt=0.080|steam=0.100,0.08,0.1,0.6000000000000005
10-15%,4166,477,11.4,11.9,14.3,0.96,mkt=0.080|steam=0.100,0.08,0.1,0.5
15-25%,2701,614,22.7,19.1,24.5,1.19,mkt=0.080|steam=0.100,0.08,0.1,3.599999999999998
25%+,283,112,39.6,32.1,41.5,1.23,mkt=0.080|steam=0.100,0.08,0.1,7.5
