race_id,race_number,race_name,competition_id,competition_name,country,class_name,grade,tempo,distance_m,track_status,start_time_iso,field_size,active_field_size,selection_id,runner_number,runner_name,draw_number,jockey,trainer,trainer_location,weight_kg,age,sex,speed_rating,dry_rating,wet_rating,win_percentage,place_percentage,prize_money,career_starts,career_wins,career_seconds,career_thirds,good_starts,good_wins,soft_starts,soft_wins,heavy_starts,heavy_wins,distance_starts,distance_wins,track_starts,track_wins,first_up_starts,first_up_wins,second_up_starts,second_up_wins,horse_jockey_starts,horse_jockey_wins,last_six,form_fig,expected_settling_position,recent_runs_count,recent_wins,recent_places,recent_avg_place,recent_best_place,recent_avg_place_3,recent_avg_place_5,recent_win_rate_5,recent_top3_rate_5,recent_avg_margin,recent_best_margin,recent_avg_margin_3,recent_avg_starting_price,recent_same_distance_runs,recent_same_track_runs,recent_same_condition_runs,recent_days_since_last_run,recent_1_place,recent_1_total_runners,recent_2_place,recent_2_total_runners,recent_3_place,recent_3_total_runners,recent_4_place,recent_4_total_runners,recent_5_place,recent_5_total_runners,recent_6_place,recent_6_total_runners,open_price,fluc1,fluc2,sp_starting_price,live_price,price_quality,finish_place,result_code,status,is_winner,top3_mask,is_duplicate_runner,has_valid_live_price,race_total_runners,race_priced_runners,price_coverage,is_valid_field_size,has_valid_result_labels,condition_rating,suitability_score,recent_place_quality_score,recent_form_score,connection_score,margin_score,freshness_score,class_score,market_rank,price_band,distance_band,has_sparse_recent_form,speed_score_norm,market_sanity_score,model_score,model_rank,raw_model_prob,model_prob,market_implied_prob,edge,edge_pct,price_vs_sp,stake,settlement_price,profit,profit_net
10200939,3,R3 Visy Logistics Tom Patton Cup (Bm74),651,Wagga,Australia,Horses - Aus/NZ,,Fast,1800,Good (4),2026-02-28T04:10:00+00:00,9,7,1170235777,6,Aristocrat,8,Jeff Penza,Matthew Kelley,Canberra,55.0,3,g,37.0,99.0,99.0,22.22,33.33,58600.0,9.0,2.0,1.0,0.0,4.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,716721,716721,Midfield,6,2,3,3.8333333333333335,1.0,3.3333333333333335,3.4,0.4,0.6,3.0,0.2,2.9666666666666663,14.6,0,1,4,8.0,1.0,4.0,2.0,7.0,7.0,10.0,6.0,8.0,1.0,12.0,6.0,8.0,5.0,8.5,8.0,,8.0,FLUC2,5,L,finished,0,0,False,True,7,7,1.0,True,True,99.0,0.3466666666666667,0.7511904761904762,0.5784201717822408,0.4,0.6933333333333334,0.5640763225340655,0.37132418303481796,4.0,6-9,middle,False,0.8853482663393679,0.12495714040802332,0.5944234576753167,2.0,0.23468767612878877,0.23468767612878877,0.10349545414423161,0.13119222198455716,13.119222198455716,,1.0,8.0,-1.0,-1.0
10201154,6,R6 Owner's Pavillion @ Jewel Race (Bm62),366,Gold Coast,Australia,Horses - Aus/NZ,,Fast,1400,Heavy (8),2026-02-28T06:04:00+00:00,11,8,1170265592,6,Music Fever,3,Dylan Turner,Ms P Barron,Gold Coast,57.0,5,m,100.0,100.0,100.0,22.22,55.56,45550.0,9.0,2.0,2.0,1.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6.0,2.0,x45221,x45221,Leader,6,1,4,2.8333333333333335,1.0,2.0,2.6,0.2,0.8,1.75,0.2,1.0333333333333334,5.3,0,3,0,22.0,1.0,12.0,3.0,7.0,2.0,12.0,2.0,8.0,5.0,6.0,4.0,9.0,2.2,2.7,2.8,2.6,2.8,FLUC2,1,W,finished,1,1,False,True,8,8,1.0,True,True,100.0,0.5,0.7899945887445887,0.5995625117635988,0.3,0.8866666666666667,0.6525838018880818,0.4453250923457641,1.0,<3,middle,False,0.9522552930346733,0.36243295535255077,0.6757965078403292,1.0,0.4131277141116909,0.4131277141116909,0.2945178177260222,0.11860989638566871,11.86098963856687,-0.19999999999999973,1.0,2.8,1.7999999999999998,1.7999999999999998
10201168,8,R8 Ladbrokes Top 2/3/4 Betting (Bm62),584,Sale,Australia,Horses - Aus/NZ,,Fast,1112,Soft (6),2026-03-01T05:55:00+00:00,11,7,1170268623,5,Sugar Schnapps,3,Luke Currie,"Ben, Will & Jd Hayes",Pakenham 3,60.0,4,m,100.0,99.0,99.0,33.33,100.0,18136.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,212,212,Leader,3,1,3,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.0,0.7333333333333334,0.2,0.7333333333333334,7.400000000000001,1,0,2,19.0,2.0,7.0,1.0,13.0,2.0,9.0,,,,,,,4.8,4.5,4.6,5.0,4.6,FLUC2,2,P,finished,0,1,False,True,7,7,1.0,True,True,99.0,0.3466666666666667,0.7479166666666668,0.6468750000000001,0.25,0.9166666666666667,0.6910074875156095,0.6314038652381962,3.0,3-6,sprint,False,0.8853482663393679,0.21947092628895565,0.649201019819296,1.0,0.29913743373158663,0.29913743373158663,0.17473211794315338,0.12440531578843325,12.440531578843325,0.40000000000000036,1.0,4.6,-1.0,-1.0
10201242,3,R3 Barrier Reef Pools Mdn Plate,355,Gatton,Australia,Horses - Aus/NZ,,Fast,1600,Soft (5),2026-03-01T04:10:00+00:00,9,7,1170283568,7,Fortunas Girl,8,Micheal Hellyer,Jack Bruce,Eagle Farm,56.5,4,m,91.0,100.0,100.0,0.0,33.33,5500.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,852,852,Leader,6,0,2,4.5,2.0,5.0,4.4,0.0,0.4,3.6666666666666665,1.0,5.5,27.900000000000002,1,0,5,11.0,2.0,7.0,5.0,9.0,8.0,12.0,4.0,6.0,3.0,4.0,5.0,7.0,3.6,5.5,6.0,,6.0,FLUC2,5,L,finished,0,0,False,True,7,7,1.0,True,True,100.0,0.19999999999999998,0.5612121212121213,0.36674242424242426,0.16666666666666666,0.4,0.5934981415507573,0.24671034141470946,4.0,6-9,middle,False,0.9522552930346733,0.1675810046288359,0.4971759006759464,1.0,0.23180728272174606,0.23180728272174606,0.1414822560338021,0.09032502668794395,9.032502668794395,,1.0,6.0,-1.0,-1.0
10222469,4,R4 Entain/Nzb Insurance Pearl Series (Bm65),576,Riverton,New Zealand,Horses - Aus/NZ,,Fast,1400,Heavy (10),2026-03-08T01:45:00+00:00,10,9,1172626323,2,Palace Princess,3,Kendra Bakker,Len & Lacy Stewart,Timaru,58.5,5,m,3.0,99.0,99.0,18.75,37.5,68825.0,16.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,9.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,221714,221714,,6,2,4,2.8333333333333335,1.0,4.0,3.0,0.4,0.6,2.966666666666667,0.3,4.733333333333333,6.933333333333334,1,0,1,16.0,4.0,11.0,1.0,7.0,7.0,13.0,1.0,14.0,2.0,11.0,2.0,14.0,4.4,7.0,7.5,8.0,7.5,FLUC2,2,P,finished,0,1,False,True,9,9,1.0,True,True,99.0,0.24179894179894182,0.806153846153846,0.6076421404682273,0.25,0.5116666666666667,0.6527899406858065,0.3744588952884905,4.0,6-9,middle,False,0.8853482663393679,0.13348191325218584,0.5641355290964394,1.0,0.2103994580492588,0.2103994580492588,0.10768469994593621,0.10271475810332259,10.271475810332259,0.5,1.0,7.5,-1.0,-1.0
10222520,8,R8 The Agency Randwick Guineas,570,Randwick,Australia,Horses - Aus/NZ,,Fast,1600,Good (4),2026-03-07T05:35:00+00:00,9,9,1172635391,3,Ninja,8,Tommy Berry,Michael Freedman,Randwick,56.5,3,g,71.0,100.0,100.0,57.14,100.0,1099225.0,7.0,4.0,1.0,2.0,4.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,2.0,1x3121,1x3121,Pace,6,4,6,1.5,1.0,1.3333333333333333,1.6,0.6,1.0,1.3333333333333333,0.2,0.8333333333333334,2.1500000000000004,0,1,6,14.0,1.0,7.0,1.0,7.0,2.0,17.0,1.0,13.0,3.0,9.0,1.0,8.0,4.4,5.5,6.0,,6.0,FLUC2,5,L,finished,0,0,False,True,9,9,1.0,True,True,100.0,0.3666666666666667,0.965625,0.8149553571428572,0.42857142857142855,0.9066666666666667,0.6676861713519385,0.7886203227570319,3.0,6-9,middle,False,0.9522552930346733,0.1675810046288359,0.7228132873652524,1.0,0.23773397025839324,0.23773397025839324,0.14556308396490272,0.09217088629349052,9.217088629349051,,1.0,6.0,-1.0,-1.0
10222588,3,R3 Ipswich Party Hire Mdn Plate,410,Ipswich,Australia,Horses - Aus/NZ,,Normal,2200,Soft (6),2026-03-06T04:12:00+00:00,11,9,1172647852,9,Wanna Kiss,8,Frederick Larson,H R Richardson,Toowoomba,56.5,5,m,72.0,100.0,100.0,0.0,50.0,17200.0,6.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,543522,543522,Pace,6,0,3,3.5,2.0,3.0,3.2,0.0,0.6,2.9166666666666665,0.2,1.9000000000000001,11.866666666666667,0,1,3,16.0,2.0,9.0,2.0,7.0,5.0,9.0,3.0,11.0,4.0,10.0,5.0,9.0,6.5,9.5,9.0,,9.0,FLUC2,8,L,finished,0,0,False,True,9,9,1.0,True,True,100.0,0.18000000000000002,0.7612499999999999,0.5060416666666666,0.16666666666666666,0.8,0.6455399406858066,0.32227041196812,5.0,9-12,staying,False,0.9522552930346733,0.11074918566775244,0.5699214905197,1.0,0.2602299269286325,0.2602299269286325,0.0894839650542889,0.1707459618743436,17.07459618743436,,1.0,9.0,-1.0,-1.0
10222634,10,R10 Tab Australian Cup Prelude,351,Flemington,Australia,Horses - Aus/NZ,,Fast,2000,Good (3),2026-03-07T06:35:00+00:00,11,9,1172654563,3,Magnaspin,1,Ben Allen,L & T Corstens & W Larkin,Flemington,57.0,6,g,100.0,100.0,100.0,19.51,46.34,1089200.0,41.0,8.0,5.0,6.0,24.0,4.0,13.0,2.0,4.0,2.0,10.0,4.0,13.0,0.0,6.0,1.0,6.0,2.0,2.0,1.0,666121,666121,Leader,6,2,3,3.6666666666666665,1.0,1.3333333333333333,3.2,0.4,0.6,1.6166666666666665,0.5,0.7666666666666666,4.533333333333333,4,1,6,14.0,1.0,7.0,2.0,7.0,1.0,7.0,6.0,12.0,6.0,10.0,6.0,11.0,6.5,9.0,9.5,,9.5,FLUC2,5,L,finished,0,0,False,True,9,9,1.0,True,True,100.0,0.20289449112978522,0.8323232323232324,0.6343759018759019,0.3333333333333333,0.8983333333333334,0.6513528380186053,0.45014932600874596,4.0,9-12,staying,False,0.9522552930346733,0.10476688893500681,0.6296490585872175,1.0,0.20894426625385773,0.20894426625385773,0.09028276498859628,0.11866150126526145,11.866150126526145,,1.0,9.5,-1.0,-1.0
10222639,3,R3 Good Friday Appeal Ottawa Stakes,351,Flemington,Australia,Horses - Aus/NZ,,Fast,1000,Good (3),2026-03-07T02:20:00+00:00,10,8,1172654870,1,Rebel Tuesday,9,Lachlan Neindorf,P Stokes,Pakenham OC,56.0,2,f,20.0,98.0,98.0,50.0,100.0,153640.0,4.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,32x11,32x11,Off Midfield,6,3,6,1.8333333333333333,1.0,1.6666666666666667,2.0,0.4,1.0,1.25,0.1,1.0,2.0,4,0,6,14.0,1.0,9.0,1.0,6.0,3.0,6.0,2.0,6.0,3.0,7.0,1.0,5.0,6.5,8.0,7.5,8.0,7.5,FLUC2,4,P,finished,0,0,False,True,8,8,1.0,True,True,98.0,0.3666666666666667,0.8866666666666667,0.7279289215686275,0.25,0.895,0.6843528380186052,0.7303351098463478,2.0,6-9,sprint,False,0.8551089291193618,0.13348191325218584,0.6595139410949344,1.0,0.24581539297035834,0.24581539297035834,0.11014528719653437,0.135670105773824,13.5670105773824,0.5,1.0,7.5,-1.0,-1.0
10226323,7,R7 Happy Retirement Kay O'brien (Bm58),293,Coffs Harbour,Australia,Horses - Aus/NZ,,Fast,1010,Heavy (9),2026-03-09T06:15:00+00:00,13,8,1173002975,3,Unsnoozual,2,Andrew Gibbons,T S Howlett,Muswellbrook,61.5,4,g,100.0,100.0,100.0,20.0,40.0,25360.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,26165x,26165x,Leader,6,1,2,4.333333333333333,1.0,5.666666666666667,4.8,0.2,0.2,3.983333333333333,0.5,5.3,8.75,4,0,0,12.0,6.0,7.0,5.0,10.0,6.0,9.0,1.0,10.0,6.0,9.0,2.0,10.0,5.5,5.5,6.0,,6.0,FLUC2,8,L,finished,0,0,False,True,8,8,1.0,True,True,100.0,0.19166666666666665,0.4354166666666666,0.3130208333333333,0.25,0.44500000000000006,0.6062242467239176,0.37313308314740234,3.0,6-9,sprint,False,0.9522552930346733,0.1675810046288359,0.5017797095097672,1.0,0.23146157107677526,0.23146157107677526,0.1399395333767878,0.09152203769998746,9.152203769998746,,1.0,6.0,-1.0,-1.0
