model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio
8-11%,7,0,0.0,10.8,6.7,0.0
11-14%,158,10,6.3,12.7,7.5,0.5
14-17%,260,33,12.7,15.4,9.1,0.82
17-20%,153,19,12.4,18.4,10.7,0.67
20%+,148,27,18.2,24.0,13.3,0.76
