model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio
0-5%,3324,76,2.3,3.5,3.5,0.66
5-7%,3886,189,4.9,6.2,6.6,0.79
7-10%,2608,187,7.2,8.3,9.8,0.87
10-15%,4364,502,11.5,11.8,14.4,0.97
15-25%,2600,609,23.4,18.9,24.5,1.24
25%+,237,92,38.8,31.8,41.2,1.22
