model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio
0-5%,3353,102,3.0,3.3,4.6,0.92
5-7%,4122,232,5.6,6.1,8.0,0.92
7-10%,2207,184,8.3,8.5,10.7,0.99
10-15%,4376,513,11.7,11.9,14.1,0.99
15-25%,2769,561,20.3,19.0,21.5,1.07
25%+,192,63,32.8,31.3,32.5,1.05
