model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio
0-5%,3632,107,2.9,3.3,4.5,0.9
5-7%,3513,196,5.6,6.0,7.7,0.93
7-10%,2691,227,8.4,8.7,10.5,0.97
10-15%,4327,514,11.9,11.8,14.5,1.0
15-25%,2626,534,20.3,19.4,21.8,1.05
25%+,230,77,33.5,30.7,32.4,1.09
