model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio
0-5%,4198,95,2.3,3.5,3.9,0.66
5-7%,2533,126,5.0,5.9,6.8,0.84
7-10%,3958,301,7.6,8.4,10.2,0.9
10-15%,3539,429,12.1,12.3,15.1,0.98
15-25%,2705,605,22.4,19.1,23.2,1.17
25%+,346,125,36.1,28.6,34.8,1.26
