breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge
price_band,12-20,74,9,74.0,34.0,0.4594594594594595,0.12162162162162163,12.0,0.09488589010923536
price_band,9-12,242,26,242.0,20.5,0.08471074380165289,0.10743801652892562,9.956611570247935,0.09176968712005422
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.11757220848522637
price_band,6-9,358,48,358.0,1.0,0.002793296089385475,0.1340782122905028,7.343575418994414,0.08448077883411695
price_band,3-6,65,10,65.0,-16.7,-0.2569230769230769,0.15384615384615385,5.047692307692308,0.07692323227823933
track,Sandown,8,3,8.0,27.0,3.375,0.375,10.25,0.08966232293576905
track,Wagga,5,3,5.0,23.0,4.6,0.6,9.5,0.09422970634384732
track,Goulburn,5,3,5.0,20.5,4.1,0.6,8.1,0.10383836545284339
track,Launceston,15,4,15.0,19.8,1.32,0.26666666666666666,8.08,0.09546357332623584
track,Wyong,12,3,12.0,15.5,1.2916666666666667,0.25,7.833333333333333,0.10419832967374015
track,Rosehill,11,3,11.0,13.0,1.1818181818181819,0.2727272727272727,9.0,0.07814597145644125
track,Tauranga,1,1,1.0,11.0,11.0,1.0,12.0,0.05264187519739383
track,Toowoomba,17,4,17.0,9.5,0.5588235294117647,0.23529411764705882,7.5588235294117645,0.08676244684302102
track,Wingatui,2,1,2.0,9.0,4.5,0.5,7.8,0.062196838002836756
track,Wangaratta,3,1,3.0,8.0,2.6666666666666665,0.3333333333333333,10.166666666666666,0.050631793052461016
track,Wanganui,7,2,7.0,8.0,1.1428571428571428,0.2857142857142857,7.5,0.13522665453369473
track,Towong,3,1,3.0,8.0,2.6666666666666665,0.3333333333333333,8.666666666666666,0.13975218015322008
track,Eagle Farm,18,3,18.0,7.5,0.4166666666666667,0.16666666666666666,8.461111111111112,0.09639162272135249
track,Parkes,1,1,1.0,7.5,7.5,1.0,8.5,0.08794196280278464
track,Ipswich,13,2,13.0,7.5,0.5769230769230769,0.15384615384615385,8.576923076923077,0.11407983272196993
track,Port Macquarie,5,1,5.0,7.0,1.4,0.2,9.8,0.09435907236760487
track,Taree,5,1,5.0,7.0,1.4,0.2,9.1,0.07857970156994674
track,Dalby,9,2,9.0,6.0,0.6666666666666666,0.2222222222222222,7.388888888888889,0.07614128356535493
track,Pinjarra,9,2,9.0,6.0,0.6666666666666666,0.2222222222222222,7.944444444444445,0.06778769408321486
track,Tamworth,2,1,2.0,6.0,3.0,0.5,7.75,0.08253709899521536
track,Barcaldine,2,1,2.0,6.0,3.0,0.5,8.75,0.08051662673190019
track,Sapphire Coast,2,1,2.0,5.5,2.75,0.5,7.0,0.055155851388850485
track,Bordertown,3,1,3.0,5.5,1.8333333333333333,0.3333333333333333,8.0,0.07836782210680983
track,Geraldton,3,1,3.0,5.5,1.8333333333333333,0.3333333333333333,6.833333333333333,0.08741180278104814
track,Otaki,4,1,4.0,5.5,1.375,0.25,9.25,0.07891423420040972
track,Gosford,6,1,6.0,5.0,0.8333333333333334,0.16666666666666666,10.166666666666666,0.0846136917828812
track,Wellington,4,1,4.0,5.0,1.25,0.25,7.625,0.10223640599622014
track,Muswellbrook,6,1,6.0,5.0,0.8333333333333334,0.16666666666666666,9.0,0.07389936928428664
