breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge
price_band,9-12,61,9,61.0,28.5,0.4672131147540984,0.14754098360655737,10.180327868852459,0.08415674384950311
price_band,12-20,20,3,20.0,16.0,0.8,0.15,12.0,0.07472154186801713
price_band,3-6,9,3,9.0,6.5,0.7222222222222222,0.3333333333333333,5.122222222222223,0.06463855547702521
price_band,6-9,24,3,24.0,1.5,0.0625,0.125,7.604166666666667,0.09291796300609129
track,Sunshine Coast,1,1,1.0,11.0,11.0,1.0,12.0,0.05234792398119682
track,Nowra,1,1,1.0,11.0,11.0,1.0,12.0,0.16881634654557331
track,Launceston,2,1,2.0,10.0,5.0,0.5,10.25,0.13990354506119101
track,Yarra Valley,1,1,1.0,10.0,10.0,1.0,11.0,0.06596601110587721
track,Swan Hill,1,1,1.0,9.0,9.0,1.0,10.0,0.06125627292066918
track,Doomben,1,1,1.0,9.0,9.0,1.0,10.0,0.08072410852447762
track,Geelong,3,1,3.0,8.0,2.6666666666666665,0.3333333333333333,10.5,0.07901237176182961
track,Gold Coast Poly,2,1,2.0,8.0,4.0,0.5,10.5,0.05493841163932223
track,Gatton,2,1,2.0,7.5,3.75,0.5,10.75,0.08621603936822378
track,Kyneton,1,1,1.0,7.5,7.5,1.0,8.5,0.08515899862108109
track,Orange,1,1,1.0,7.5,7.5,1.0,8.5,0.08501971418191256
track,Waverley,2,1,2.0,7.0,3.5,0.5,10.5,0.0963400277456283
track,Sandown,2,1,2.0,6.5,3.25,0.5,9.0,0.055491584541373457
track,Sale,4,1,4.0,6.0,1.5,0.25,10.125,0.06359670219317654
track,Ashburton,3,1,3.0,6.0,2.0,0.3333333333333333,9.0,0.1624936055478949
track,Pukekohe,1,1,1.0,4.5,4.5,1.0,5.5,0.08109889204324888
track,Te Rapa,1,1,1.0,4.0,4.0,1.0,5.0,0.05229833209449092
track,Wingatui,4,1,4.0,1.0,0.25,0.25,9.125,0.1347520320352736
track,Moruya,1,0,1.0,-1.0,-1.0,0.0,11.0,0.05518866761587346
track,Kerang,1,0,1.0,-1.0,-1.0,0.0,8.5,0.05906827462976971
track,Matamata,1,0,1.0,-1.0,-1.0,0.0,10.0,0.06095769754675853
track,Home Hill,1,0,1.0,-1.0,-1.0,0.0,9.0,0.06060076412173224
track,Kilmore,1,0,1.0,-1.0,-1.0,0.0,7.0,0.07680971926615537
track,Casterton,1,0,1.0,-1.0,-1.0,0.0,5.0,0.05910520206287173
track,Emerald,1,0,1.0,-1.0,-1.0,0.0,6.0,0.09198521491305237
track,Geraldton,1,0,1.0,-1.0,-1.0,0.0,12.0,0.05194795899481701
track,Hamilton,1,0,1.0,-1.0,-1.0,0.0,9.0,0.06410438616342798
track,Canberra,1,0,1.0,-1.0,-1.0,0.0,10.0,0.05571519997233068
track,Donald,1,0,1.0,-1.0,-1.0,0.0,11.0,0.05939641267815865
track,Dongara,1,0,1.0,-1.0,-1.0,0.0,11.0,0.06010163224588602
track,Corowa,1,0,1.0,-1.0,-1.0,0.0,11.0,0.055937963974772825
track,Eagle Farm,1,0,1.0,-1.0,-1.0,0.0,11.0,0.059363138923396536
track,Wodonga,1,0,1.0,-1.0,-1.0,0.0,11.0,0.05500447839915784
track,Trentham,1,0,1.0,-1.0,-1.0,0.0,10.0,0.1490365683474179
track,Terang,1,0,1.0,-1.0,-1.0,0.0,11.0,0.08763682356207725
track,Waipukurau,1,0,1.0,-1.0,-1.0,0.0,8.0,0.12413568234667141
track,Riccarton Park Synthetic,1,0,1.0,-1.0,-1.0,0.0,4.6,0.05535008438187894
track,Rosehill,1,0,1.0,-1.0,-1.0,0.0,9.5,0.050955431476506524
track,Pinjarra,1,0,1.0,-1.0,-1.0,0.0,12.0,0.05047752244793906
track,Scone,1,0,1.0,-1.0,-1.0,0.0,12.0,0.050988249206128614
track,Warracknabeal,1,0,1.0,-1.0,-1.0,0.0,11.0,0.08587908427800195
track,New Plymouth Raceway,1,0,1.0,-1.0,-1.0,0.0,9.0,0.1519333354030834
track,Mudgee,1,0,1.0,-1.0,-1.0,0.0,10.0,0.08436447513287876
track,Rotorua,1,0,1.0,-1.0,-1.0,0.0,5.5,0.07633868443816771
track,Newcastle,1,0,1.0,-1.0,-1.0,0.0,12.0,0.05497025818577665
track,Narromine,1,0,1.0,-1.0,-1.0,0.0,12.0,0.08338774949469131
track,Bowen,2,0,2.0,-2.0,-1.0,0.0,7.25,0.07819443824213537
track,Darwin,2,0,2.0,-2.0,-1.0,0.0,10.0,0.05726636456652073
track,Alice Springs,2,0,2.0,-2.0,-1.0,0.0,10.75,0.1099429682753871
track,Pakenham,2,0,2.0,-2.0,-1.0,0.0,8.5,0.11363867493110265
track,Riccarton,2,0,2.0,-2.0,-1.0,0.0,8.75,0.07634151347072995
track,Cairns,2,0,2.0,-2.0,-1.0,0.0,11.0,0.05759135605684663
track,Gold Coast,2,0,2.0,-2.0,-1.0,0.0,10.5,0.06914416892009811
track,Kembla Grange,2,0,2.0,-2.0,-1.0,0.0,10.0,0.08189281890108326
