model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio
0-5%,3121,69,2.2,3.5,3.4,0.63
5-7%,3764,170,4.5,6.2,6.6,0.73
7-10%,2770,217,7.8,8.3,9.9,0.94
10-15%,4635,546,11.8,11.8,14.6,0.99
15-25%,2557,593,23.2,18.8,24.2,1.24
25%+,172,60,34.9,31.5,36.7,1.11
