model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio
0-5%,3467,84,2.4,3.4,3.7,0.71
5-7%,3652,184,5.0,6.2,7.0,0.82
7-10%,2578,204,7.9,8.3,10.1,0.95
10-15%,4472,523,11.7,11.9,14.5,0.98
15-25%,2634,584,22.2,19.0,23.5,1.17
25%+,216,76,35.2,31.3,36.0,1.12
