breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge
price_band,9-12,251,26,251.0,11.5,0.045816733067729085,0.10358565737051793,9.96812749003984,0.090498030325534
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.11757220848522637
price_band,6-9,364,48,364.0,-5.0,-0.013736263736263736,0.13186813186813187,7.347527472527473,0.08414408400023529
price_band,12-20,251,19,251.0,-6.0,-0.02390438247011952,0.07569721115537849,13.274900398406375,0.0998644470178032
price_band,3-6,66,10,66.0,-17.7,-0.2681818181818182,0.15151515151515152,5.043939393939394,0.07744331053870249
track,Sandown,10,4,10.0,40.0,4.0,0.4,11.1,0.09634196257573782
track,Wagga,8,3,8.0,20.0,2.5,0.375,11.0625,0.09759278520371445
track,Pinjarra,11,3,11.0,19.0,1.7272727272727273,0.2727272727272727,8.863636363636363,0.06878186359149095
track,Goulburn,7,3,7.0,18.5,2.642857142857143,0.42857142857142855,9.642857142857142,0.10540231815347986
track,Tamworth,4,2,4.0,18.0,4.5,0.5,10.875,0.10180955796605778
track,Taree,9,2,9.0,16.0,1.7777777777777777,0.2222222222222222,11.055555555555555,0.08188220937165135
track,Launceston,19,4,19.0,15.8,0.8315789473684211,0.21052631578947367,9.11578947368421,0.09962423834458249
track,Wyong,13,3,13.0,14.5,1.1153846153846154,0.23076923076923078,8.307692307692308,0.10150113520116026
track,Tauranga,1,1,1.0,11.0,11.0,1.0,12.0,0.05264187519739383
track,Mount Gambier,3,1,3.0,11.0,3.6666666666666665,0.3333333333333333,11.5,0.09032018013909728
track,Gunnedah,2,1,2.0,11.0,5.5,0.5,12.0,0.08250185617071797
track,Pukekohe,12,2,12.0,9.0,0.75,0.16666666666666666,9.625,0.08495862982583864
track,Wangaratta,3,1,3.0,8.0,2.6666666666666665,0.3333333333333333,10.166666666666666,0.050631793052461016
track,Toowoomba,19,4,19.0,7.5,0.39473684210526316,0.21052631578947367,8.18421052631579,0.08855642549419068
track,Parkes,1,1,1.0,7.5,7.5,1.0,8.5,0.08794196280278464
track,Ascot,29,4,29.0,7.0,0.2413793103448276,0.13793103448275862,9.686206896551724,0.0803104852185332
track,Wanganui,8,2,8.0,7.0,0.875,0.25,8.1875,0.1303508880689869
track,Rosehill,17,3,17.0,7.0,0.4117647058823529,0.17647058823529413,10.088235294117647,0.07171829982540327
track,Towong,4,1,4.0,7.0,1.75,0.25,10.0,0.12574414209644386
track,Port Macquarie,6,1,6.0,6.0,1.0,0.16666666666666666,10.333333333333334,0.0937865866524669
track,Bordertown,3,1,3.0,5.5,1.8333333333333333,0.3333333333333333,8.0,0.07836782210680983
track,Otaki,4,1,4.0,5.5,1.375,0.25,9.25,0.07891423420040972
track,Warrnambool,8,1,8.0,5.0,0.625,0.125,9.3125,0.0916053248928945
track,Dalby,10,2,10.0,5.0,0.5,0.2,8.05,0.07837225148390506
track,Barcaldine,3,1,3.0,5.0,1.6666666666666667,0.3333333333333333,10.5,0.1096654898567372
track,Cairns,12,2,12.0,4.5,0.375,0.16666666666666666,8.458333333333334,0.1034907910039931
track,Sapphire Coast,3,1,3.0,4.5,1.5,0.3333333333333333,9.0,0.08185268654100965
track,Geraldton,4,1,4.0,4.5,1.125,0.25,8.375,0.08432133396994931
track,Muswellbrook,7,1,7.0,4.0,0.5714285714285714,0.14285714285714285,9.857142857142858,0.0764850471956033
track,Wellington,5,1,5.0,4.0,0.8,0.2,8.7,0.10049798728915518
track,Rotorua,4,1,4.0,3.5,0.875,0.25,7.0,0.09018592770461448
track,Gold Coast Poly,4,1,4.0,3.5,0.875,0.25,8.325,0.08114657003931001
track,Gosford,8,1,8.0,3.0,0.375,0.125,10.875,0.09089957718279225
track,Stony Creek,3,1,3.0,3.0,1.0,0.3333333333333333,9.333333333333334,0.09257683823623854
track,Pakenham,24,3,24.0,3.0,0.125,0.125,9.029166666666667,0.09309087351224334
track,Terang,4,1,4.0,3.0,0.75,0.25,7.375,0.08639945804706217
track,Geelong,9,1,9.0,3.0,0.3333333333333333,0.1111111111111111,8.88888888888889,0.09662400740759107
track,Beaudesert,4,1,4.0,3.0,0.75,0.25,9.0,0.07687922013624206
track,Kembla Grange,8,1,8.0,3.0,0.375,0.125,10.625,0.11423050713465895
track,Tuncurry,2,1,2.0,2.8,1.4,0.5,7.4,0.07711582641822888
track,Waverley,10,2,10.0,2.5,0.25,0.2,8.709999999999999,0.09110482231660613
track,Ipswich,18,2,18.0,2.5,0.1388888888888889,0.1111111111111111,10.083333333333334,0.10378956602327735
track,Mornington,6,1,6.0,2.0,0.3333333333333333,0.16666666666666666,10.25,0.09564454219956242
track,Sale,10,1,10.0,2.0,0.2,0.1,8.3,0.07868744319747126
track,Gatton,6,1,6.0,2.0,0.3333333333333333,0.16666666666666666,9.666666666666666,0.09520422190190854
track,Grafton,10,2,10.0,2.0,0.2,0.2,8.8,0.08109792422547402
track,Canterbury,4,1,4.0,1.5,0.375,0.25,7.75,0.10456956176547305
track,Wingatui,10,1,10.0,1.0,0.1,0.1,11.26,0.06843807206473441
track,Riccarton,9,1,9.0,1.0,0.1111111111111111,0.1111111111111111,10.61111111111111,0.0760958753456249
track,Yarra Valley,8,1,8.0,1.0,0.125,0.125,9.0,0.0804098037180428
track,Alice Springs,10,2,10.0,0.9000000000000004,0.09000000000000004,0.2,9.190000000000001,0.12062333212430354
track,Eagle Farm,25,3,25.0,0.5,0.02,0.12,9.932,0.0956572556676479
track,Hobart,8,1,8.0,0.0,0.0,0.125,8.5625,0.08421899201921842
track,Ararat,8,1,8.0,0.0,0.0,0.125,9.9375,0.08394806377681951
track,Coffs Harbour,7,1,7.0,-0.5,-0.07142857142857142,0.14285714285714285,7.571428571428571,0.08164403014394625
track,Strathalbyn,1,0,1.0,-1.0,-1.0,0.0,11.0,0.07524420711325204
track,Naracoorte,1,0,1.0,-1.0,-1.0,0.0,12.0,0.08777850733745513
track,Cowra,1,0,1.0,-1.0,-1.0,0.0,12.0,0.041464920207313224
track,Ascot Park,1,0,1.0,-1.0,-1.0,0.0,8.0,0.11467081608204878
track,Penola,1,0,1.0,-1.0,-1.0,0.0,7.5,0.08556948950582023
track,Orange,1,0,1.0,-1.0,-1.0,0.0,14.0,0.1598699584150537
track,Mudgee,1,0,1.0,-1.0,-1.0,0.0,10.0,0.11052749194285894
track,New Plymouth Raceway,1,0,1.0,-1.0,-1.0,0.0,7.5,0.07693661420563558
track,Home Hill,1,0,1.0,-1.0,-1.0,0.0,6.0,0.06583618107891082
track,Te Aroha,1,0,1.0,-1.0,-1.0,0.0,4.8,0.06243558205391764
track,Taupo,1,0,1.0,-1.0,-1.0,0.0,8.0,0.08495086737795586
track,Kilcoy,1,0,1.0,-1.0,-1.0,0.0,13.0,0.05188037201925443
track,Hastings,1,0,1.0,-1.0,-1.0,0.0,7.0,0.05608015864596837
track,Bunbury,1,0,1.0,-1.0,-1.0,0.0,11.0,0.12024948812046078
track,Sunshine Coast Poly Track,1,0,1.0,-1.0,-1.0,0.0,15.0,0.17534831260210598
track,Warwick,1,0,1.0,-1.0,-1.0,0.0,9.0,0.10775490520284679
track,Caulfield Heath,2,0,2.0,-2.0,-1.0,0.0,9.5,0.10156861420549404
track,Bairnsdale,2,0,2.0,-2.0,-1.0,0.0,7.0,0.10038448472469522
track,Armidale,2,0,2.0,-2.0,-1.0,0.0,13.0,0.08461172040795764
track,Esperance,2,0,2.0,-2.0,-1.0,0.0,6.5,0.07140008175999295
track,Flemington,11,1,11.0,-2.0,-0.18181818181818182,0.09090909090909091,8.072727272727272,0.08730374540644817
track,Tauherenikau,2,0,2.0,-2.0,-1.0,0.0,9.0,0.08014112686789848
track,Swan Hill,2,0,2.0,-2.0,-1.0,0.0,10.25,0.06707028638151624
track,Waipukurau,2,0,2.0,-2.0,-1.0,0.0,7.75,0.14613797079619267
track,Ballina,2,0,2.0,-2.0,-1.0,0.0,6.5,0.07371776079344604
track,Hamilton,2,0,2.0,-2.0,-1.0,0.0,9.25,0.06300958200504919
track,Moruya,2,0,2.0,-2.0,-1.0,0.0,7.75,0.06718640080401159
track,Casterton,2,0,2.0,-2.0,-1.0,0.0,8.25,0.06516830762029517
track,Kangaroo Island,2,0,2.0,-2.0,-1.0,0.0,6.5,0.07935174586743243
track,Rockingham,2,0,2.0,-2.0,-1.0,0.0,7.5,0.07547174851289468
track,Randwick-Kensington,2,0,2.0,-2.0,-1.0,0.0,10.0,0.09279873687455176
track,Horsham,2,0,2.0,-2.0,-1.0,0.0,9.75,0.10735148266279466
track,Warracknabeal,2,0,2.0,-2.0,-1.0,0.0,8.0,0.0764125077226956
track,Queanbeyan,2,0,2.0,-2.0,-1.0,0.0,10.0,0.10944031487343556
track,Port Lincoln,8,1,8.0,-2.0,-0.25,0.125,8.3125,0.08160575161677998
track,Northam,2,0,2.0,-2.0,-1.0,0.0,11.5,0.07903112432888915
track,Port Augusta,2,0,2.0,-2.0,-1.0,0.0,7.25,0.07119857353924457
track,Kalgoorlie,2,0,2.0,-2.0,-1.0,0.0,6.75,0.07434154991597858
track,Albany,11,1,11.0,-2.5,-0.22727272727272727,0.09090909090909091,10.090909090909092,0.08418870923605765
track,York,3,0,3.0,-3.0,-1.0,0.0,13.0,0.11721901294105212
track,Riccarton Park Synthetic,3,0,3.0,-3.0,-1.0,0.0,12.666666666666666,0.10911041001961368
track,Narrogin,3,0,3.0,-3.0,-1.0,0.0,7.833333333333333,0.08074883732776057
track,Gundagai,3,0,3.0,-3.0,-1.0,0.0,11.833333333333334,0.11439924658572721
track,Pinjarra Scarpside,3,0,3.0,-3.0,-1.0,0.0,9.833333333333334,0.09179351015703519
track,Nowra,3,0,3.0,-3.0,-1.0,0.0,8.333333333333334,0.09272253088160083
track,Corowa,3,0,3.0,-3.0,-1.0,0.0,6.933333333333334,0.08166381030792368
track,Donald,3,0,3.0,-3.0,-1.0,0.0,8.5,0.08730070271850403
track,Devonport,3,0,3.0,-3.0,-1.0,0.0,8.166666666666666,0.0828371765962842
track,Gawler,3,0,3.0,-3.0,-1.0,0.0,11.0,0.08630576775013261
track,Doomben,18,2,18.0,-3.5,-0.19444444444444445,0.1111111111111111,9.5,0.07996848985062338
track,Caulfield,16,2,16.0,-3.5,-0.21875,0.125,9.28125,0.07821436026668238
track,Darwin,4,0,4.0,-4.0,-1.0,0.0,6.25,0.08977914477578566
track,Canberra,14,1,14.0,-4.0,-0.2857142857142857,0.07142857142857142,10.75,0.08652044591328305
track,Ashburton,4,0,4.0,-4.0,-1.0,0.0,7.5,0.07337254529763163
track,Balaklava,4,0,4.0,-4.0,-1.0,0.0,6.5,0.09632151055753099
track,Te Rapa,4,0,4.0,-4.0,-1.0,0.0,10.125,0.07608319385706579
track,Wodonga,4,0,4.0,-4.0,-1.0,0.0,8.875,0.071430307019139
track,Kerang,4,0,4.0,-4.0,-1.0,0.0,8.125,0.10068372360055194
track,Kilmore,8,1,8.0,-4.8,-0.6,0.125,8.775,0.09554867274230355
track,Oakbank,5,0,5.0,-5.0,-1.0,0.0,9.4,0.10674392938899997
track,Werribee,5,0,5.0,-5.0,-1.0,0.0,9.4,0.08179770662186059
track,Moe,5,0,5.0,-5.0,-1.0,0.0,8.5,0.08732959488218688
track,Dubbo,5,0,5.0,-5.0,-1.0,0.0,12.0,0.09766377709493305
track,Rockhampton,5,0,5.0,-5.0,-1.0,0.0,10.3,0.0820629450462061
track,Stawell,5,0,5.0,-5.0,-1.0,0.0,13.1,0.09488492443779126
track,Morphettville,24,2,24.0,-5.5,-0.22916666666666666,0.08333333333333333,10.1875,0.06970808523988042
track,Kyneton,6,0,6.0,-6.0,-1.0,0.0,10.166666666666666,0.10283187396427455
track,Belmont,6,0,6.0,-6.0,-1.0,0.0,9.333333333333334,0.0899684847131197
track,Bendigo,7,0,7.0,-7.0,-1.0,0.0,10.785714285714286,0.11113896231196194
track,Warwick Farm,7,0,7.0,-7.0,-1.0,0.0,9.357142857142858,0.10490452818613492
track,Scone,7,0,7.0,-7.0,-1.0,0.0,10.185714285714285,0.09132028591521366
track,Ellerslie,7,0,7.0,-7.0,-1.0,0.0,10.071428571428571,0.07323292083823293
track,Echuca,7,0,7.0,-7.0,-1.0,0.0,9.0,0.09406984418501331
track,Mackay,7,0,7.0,-7.0,-1.0,0.0,9.214285714285714,0.08511344739558813
track,Matamata,7,0,7.0,-7.0,-1.0,0.0,10.428571428571429,0.08545006862506181
track,Hawera,7,0,7.0,-7.0,-1.0,0.0,9.785714285714286,0.10878828669216037
track,Albury,8,0,8.0,-8.0,-1.0,0.0,9.875,0.09689185568638886
track,Ballarat,8,0,8.0,-8.0,-1.0,0.0,8.95,0.09761393479729971
track,Cranbourne,14,1,14.0,-8.0,-0.5714285714285714,0.07142857142857142,9.714285714285714,0.11273791799488285
track,Riverton,8,0,8.0,-8.0,-1.0,0.0,9.875,0.07624841461182813
track,Townsville,8,0,8.0,-8.0,-1.0,0.0,9.75,0.09448023291267572
track,Murray Bridge,9,0,9.0,-9.0,-1.0,0.0,8.833333333333334,0.08033161415113975
track,Gold Coast,17,1,17.0,-9.0,-0.5294117647058824,0.058823529411764705,9.529411764705882,0.08824832950902098
track,Trentham,10,0,10.0,-10.0,-1.0,0.0,10.55,0.08155941135271486
track,Newcastle,11,0,11.0,-11.0,-1.0,0.0,10.590909090909092,0.0936165451455485
track,Seymour,11,0,11.0,-11.0,-1.0,0.0,10.5,0.10440614520315371
track,Hawkesbury,12,0,12.0,-12.0,-1.0,0.0,9.041666666666666,0.08779412140681936
track,Randwick,17,0,17.0,-17.0,-1.0,0.0,10.323529411764707,0.08987573087350914
track,Sunshine Coast,18,0,18.0,-18.0,-1.0,0.0,8.88888888888889,0.09101135729286408
distance_band,staying,103,13,103.0,9.0,0.08737864077669903,0.1262135922330097,9.711650485436893,0.0863639412293748
distance_band,middle,411,44,411.0,-5.600000000000001,-0.013625304136253045,0.1070559610705596,9.479562043795621,0.09014992900014193
distance_band,sprint,419,47,419.0,-18.7,-0.04463007159904534,0.11217183770883055,9.422195704057279,0.08995501748835069
condition,Heavy (8),42,10,42.0,41.3,0.9833333333333333,0.23809523809523808,8.72857142857143,0.0921394466286597
condition,Good (4),430,51,430.0,16.3,0.03790697674418605,0.1186046511627907,9.450697674418604,0.09014494802047461
condition,Heavy (10),18,2,18.0,1.0,0.05555555555555555,0.1111111111111111,8.416666666666666,0.09370887258902616
condition,Firm,2,0,2.0,-2.0,-1.0,0.0,5.1,0.06550360044074811
condition,Good,13,2,13.0,-2.0999999999999996,-0.16153846153846152,0.15384615384615385,8.553846153846154,0.1092043075691835
condition,Heavy (9),22,2,22.0,-5.0,-0.22727272727272727,0.09090909090909091,8.272727272727273,0.09139915051504452
condition,Soft (6),98,10,98.0,-9.3,-0.09489795918367348,0.10204081632653061,9.620408163265306,0.08386053577932831
condition,Soft (7),51,5,51.0,-10.0,-0.19607843137254902,0.09803921568627451,9.260784313725491,0.08126895901210177
condition,Soft (5),181,17,181.0,-13.0,-0.0718232044198895,0.09392265193370165,10.066850828729281,0.09111893630753476
condition,Good (3),76,5,76.0,-32.5,-0.4276315789473684,0.06578947368421052,9.49736842105263,0.09081965238454737
field_size,14,90,11,90.0,19.0,0.2111111111111111,0.12222222222222222,9.395555555555555,0.08700466647480523
field_size,19,20,3,20.0,14.0,0.7,0.15,10.965,0.07415161185408622
field_size,11,100,12,100.0,12.0,0.12,0.12,9.123,0.09310775559112186
field_size,7,9,2,9.0,7.8,0.8666666666666667,0.2222222222222222,8.922222222222222,0.1096549217918196
field_size,8,37,6,37.0,4.699999999999999,0.127027027027027,0.16216216216216217,8.41081081081081,0.1062642714724704
field_size,15,60,7,60.0,4.0,0.06666666666666667,0.11666666666666667,9.55,0.08024329505500911
field_size,20,40,4,40.0,3.0,0.075,0.1,10.4075,0.0813154537849706
field_size,21,6,1,6.0,2.5,0.4166666666666667,0.16666666666666666,10.416666666666666,0.07832094969491132
field_size,9,54,7,54.0,2.5,0.046296296296296294,0.12962962962962962,8.342592592592593,0.09498566125910693
