breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge
price_band,12-20,95,11,95.0,41.0,0.43157894736842106,0.11578947368421053,12.452631578947368,0.08003506188220985
price_band,9-12,156,17,156.0,14.0,0.08974358974358974,0.10897435897435898,9.987179487179487,0.08193342854036392
price_band,6-9,166,23,166.0,12.0,0.07228915662650602,0.13855421686746988,7.5120481927710845,0.07732114509065861
price_band,3-6,13,3,13.0,2.5,0.19230769230769232,0.23076923076923078,5.199999999999999,0.08646124563842661
track,Sandown,3,3,3.0,32.0,10.666666666666666,1.0,11.666666666666666,0.10672715049049569
track,Taree,4,2,4.0,21.0,5.25,0.5,11.375,0.07493843015826782
track,Wyong,8,3,8.0,19.5,2.4375,0.375,8.6875,0.10641303142055054
track,Goulburn,6,3,6.0,19.5,3.25,0.5,8.916666666666666,0.06795376364194555
track,Ascot,11,2,11.0,13.0,1.1818181818181819,0.18181818181818182,10.363636363636363,0.0737828547327014
track,Pinjarra,3,2,3.0,12.0,4.0,0.6666666666666666,7.166666666666667,0.05798512022178908
track,Gunnedah,1,1,1.0,12.0,12.0,1.0,13.0,0.05374348385019771
track,Penola,1,1,1.0,11.0,11.0,1.0,12.0,0.0687527488125015
track,Cairns,6,2,6.0,10.5,1.75,0.3333333333333333,9.666666666666666,0.10528765912712768
track,Doomben,9,2,9.0,9.5,1.0555555555555556,0.2222222222222222,9.722222222222221,0.07535369663326022
track,Port Macquarie,3,1,3.0,9.0,3.0,0.3333333333333333,11.666666666666666,0.08287196221601983
track,Pukekohe,4,1,4.0,9.0,2.25,0.25,10.75,0.06891454427091395
track,Rosehill,6,2,6.0,8.5,1.4166666666666667,0.3333333333333333,10.0,0.08057298953015778
track,Riccarton,2,1,2.0,8.0,4.0,0.5,9.5,0.060589147405530105
track,Towong,3,1,3.0,8.0,2.6666666666666665,0.3333333333333333,8.666666666666666,0.11169929407424888
track,Parkes,1,1,1.0,7.5,7.5,1.0,8.5,0.052526252255608405
track,Wagga,4,1,4.0,7.0,1.75,0.25,10.875,0.06106093138449148
track,Kembla Grange,4,1,4.0,7.0,1.75,0.25,10.0,0.13078064542757145
track,Sale,6,1,6.0,6.0,1.0,0.16666666666666666,8.833333333333334,0.07002051916876761
track,Otaki,4,1,4.0,5.5,1.375,0.25,9.5,0.06521683842508191
track,Randwick-Kensington,2,1,2.0,5.5,2.75,0.5,9.75,0.05997158899837485
track,Geraldton,3,1,3.0,5.5,1.8333333333333333,0.3333333333333333,9.333333333333334,0.06427589261939066
track,Wellington,4,1,4.0,5.0,1.25,0.25,9.375,0.0771079989102046
track,Geelong,7,1,7.0,5.0,0.7142857142857143,0.14285714285714285,9.071428571428571,0.07408194937603428
track,Ararat,3,1,3.0,5.0,1.6666666666666667,0.3333333333333333,9.5,0.06894319554619448
track,Gold Coast Poly,3,1,3.0,4.5,1.5,0.3333333333333333,10.833333333333334,0.08460942448544949
track,Flemington,5,1,5.0,4.0,0.8,0.2,9.7,0.08121808121222193
track,Alice Springs,4,1,4.0,4.0,1.0,0.25,9.125,0.09543647126257787
track,Eagle Farm,13,2,13.0,4.0,0.3076923076923077,0.15384615384615385,9.076923076923077,0.07373802965889456
track,Launceston,6,1,6.0,4.0,0.6666666666666666,0.16666666666666666,9.416666666666666,0.09554997122423242
track,Terang,3,1,3.0,4.0,1.3333333333333333,0.3333333333333333,8.0,0.0703746932751765
track,Albany,6,1,6.0,2.5,0.4166666666666667,0.16666666666666666,10.333333333333334,0.06374433574077402
track,Morphettville,7,1,7.0,2.5,0.35714285714285715,0.14285714285714285,10.5,0.07305584526905895
track,Wanganui,6,1,6.0,2.5,0.4166666666666667,0.16666666666666666,9.583333333333334,0.09207143310472517
track,Waverley,3,1,3.0,2.0,0.6666666666666666,0.3333333333333333,8.333333333333334,0.08230166669545129
track,Grafton,5,1,5.0,1.5,0.3,0.2,8.4,0.06329363913880567
track,Canterbury,4,1,4.0,1.5,0.375,0.25,7.025,0.09518048394827962
track,Coffs Harbour,5,1,5.0,1.5,0.3,0.2,6.9,0.06110585240461665
track,Gold Coast,8,1,8.0,0.0,0.0,0.125,9.1875,0.06624802962553562
track,Warwick,1,0,1.0,-1.0,-1.0,0.0,9.0,0.06765063915425652
track,Dubbo,1,0,1.0,-1.0,-1.0,0.0,8.0,0.07124887279468352
track,Kalgoorlie,1,0,1.0,-1.0,-1.0,0.0,8.0,0.0527035489027977
track,Kerang,1,0,1.0,-1.0,-1.0,0.0,6.5,0.05284509995863031
track,Horsham,1,0,1.0,-1.0,-1.0,0.0,9.5,0.0919365747126718
track,Kyneton,1,0,1.0,-1.0,-1.0,0.0,10.0,0.08737730283904638
track,Donald,1,0,1.0,-1.0,-1.0,0.0,10.0,0.11594311311209812
track,Ellerslie,1,0,1.0,-1.0,-1.0,0.0,12.0,0.07119036922379254
track,Gawler,1,0,1.0,-1.0,-1.0,0.0,12.0,0.07700734711777525
