model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio
0-5%,1915,45,2.3,4.1,3.7,0.58
5-7%,3468,159,4.6,6.0,6.3,0.76
7-10%,5082,406,8.0,8.4,10.0,0.95
10-15%,4534,577,12.7,12.0,15.5,1.06
15-25%,1792,395,22.0,18.1,23.3,1.22
25%+,228,73,32.0,30.0,32.1,1.07
