race_id,race_number,race_name,competition_id,competition_name,country,class_name,grade,tempo,distance_m,track_status,start_time_iso,field_size,active_field_size,selection_id,runner_number,runner_name,draw_number,jockey,trainer,trainer_location,weight_kg,age,sex,speed_rating,dry_rating,wet_rating,win_percentage,place_percentage,prize_money,career_starts,career_wins,career_seconds,career_thirds,good_starts,good_wins,soft_starts,soft_wins,heavy_starts,heavy_wins,distance_starts,distance_wins,track_starts,track_wins,first_up_starts,first_up_wins,second_up_starts,second_up_wins,horse_jockey_starts,horse_jockey_wins,last_six,form_fig,expected_settling_position,recent_runs_count,recent_wins,recent_places,recent_avg_place,recent_best_place,recent_avg_place_3,recent_avg_place_5,recent_win_rate_5,recent_top3_rate_5,recent_avg_margin,recent_best_margin,recent_avg_margin_3,recent_avg_starting_price,recent_same_distance_runs,recent_same_track_runs,recent_same_condition_runs,recent_days_since_last_run,recent_1_place,recent_1_total_runners,recent_2_place,recent_2_total_runners,recent_3_place,recent_3_total_runners,recent_4_place,recent_4_total_runners,recent_5_place,recent_5_total_runners,recent_6_place,recent_6_total_runners,open_price,fluc1,fluc2,sp_starting_price,live_price,price_quality,finish_place,result_code,status,is_winner,top3_mask,is_duplicate_runner,has_valid_live_price,race_total_runners,race_priced_runners,price_coverage,is_valid_field_size,has_valid_result_labels,condition_rating,suitability_score,recent_place_quality_score,recent_form_score,connection_score,margin_score,freshness_score,class_score,market_rank,price_band,distance_band,has_sparse_recent_form,draw_bias_score,draw_bias_starts,draw_bias_win_rate,jockey_score,jockey_starts,jockey_win_rate,speed_score_norm,market_sanity_score,model_score,model_rank,raw_model_prob,model_prob,market_implied_prob,edge,edge_pct,price_vs_sp,stake,settlement_price,profit,profit_net
10146977,6,R6 Sportsbet Hcp (58),317,Darwin,Australia,Horses - Aus/NZ,,Not Available,1000,Good (3),2026-02-14T07:32:00+00:00,8,7,1164730579,4,Mlinzi,5,Deborah Barton,Philip Cole,Darwin,58.0,4,m,0.0,89.0,89.0,10.0,30.0,32550.0,10.0,1.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,52421x,52421x,Backmarker,6,1,3,3.6666666666666665,1.0,2.3333333333333335,2.8,0.2,0.6,4.583333333333333,0.2,1.9333333333333333,16.333333333333332,4,0,6,112.0,1.0,7.0,2.0,7.0,4.0,9.0,2.0,5.0,5.0,6.0,8.0,11.0,4.0,11.0,10.0,,10.0,FLUC2,5,L,finished,0,0,False,True,7,7,1.0,True,True,89.0,0.15714285714285714,0.7620833333333333,0.5496130952380952,0.4,0.7966666666666666,0.05335250502759799,0.3019020856259097,4.0,9-12,sprint,False,0.2,1,0.0,0.22857142857142856,41,24.39,0.46745934335685796,0.09938282187553575,0.412417469706183,2.0,0.18950299755886918,0.18950299755886918,0.08032986305341562,0.10917313450545356,10.917313450545356,,1.0,10.0,-1.0,-1.0
10169068,4,R4 Wittens Irrigation Hcp (C5),347,Esperance,Australia,Horses - Aus/NZ,,Fast,1300,Good (4),2026-02-20T08:04:00+00:00,8,8,1166916145,1,Zadows Landing,8,Wayne Wheatley,David Page,Murray Bridge,60.5,5,g,17.0,100.0,100.0,36.36,63.64,61359.0,11.0,4.0,2.0,1.0,7.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,1.0,0.0,5.0,4.0,211114,211114,Off Midfield,6,4,5,1.6666666666666667,1.0,2.0,1.6,0.8,0.8,1.8,0.2,2.433333333333333,2.5166666666666666,2,5,5,7.0,4.0,8.0,1.0,10.0,1.0,13.0,1.0,12.0,1.0,12.0,2.0,11.0,2.1,3.7,3.8,3.7,3.8,FLUC2,3,P,finished,0,1,False,True,8,8,1.0,True,True,100.0,0.5297354497354497,0.845,0.755625,0.5555555555555556,0.7466666666666666,0.5336227229451209,0.5346695564500641,2.0,3-6,sprint,False,0.2,1,0.0,0.048,17,0.0,0.9522552930346733,0.2662889007191388,0.6831784985784815,1.0,0.31012778960408505,0.31012778960408505,0.21335067582558445,0.0967771137785006,9.67771137785006,-0.09999999999999964,1.0,3.8,-1.0,-1.0
10172168,5,R5 Dickie Direct Nz Mdn,618,Taupo,New Zealand,Horses - Aus/NZ,,Slow,1400,Good (4),2026-02-22T02:45:00+00:00,9,9,1167237512,5,Pinky Pie,5,Matthew Cartwright,S B Marsh,Cambridge,56.5,4,m,25.0,100.0,100.0,0.0,57.14,28375.0,14.0,0.0,3.0,5.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,342x43,342x43,,6,0,4,3.1666666666666665,2.0,3.0,3.2,0.0,0.6,2.4166666666666665,0.7,2.766666666666667,6.3,6,0,1,17.0,3.0,10.0,4.0,10.0,2.0,9.0,4.0,9.0,3.0,11.0,3.0,12.0,4.6,7.0,6.5,,6.5,FLUC2,7,L,finished,0,0,False,True,9,9,1.0,True,True,100.0,0.16666666666666666,0.7535479797979797,0.5035239898989898,0.14285714285714285,0.6883333333333334,0.6302620611269103,0.3548193331109475,4.0,6-9,middle,False,0.2857142857142857,3,33.33,0.06458333333333334,88,5.68,0.9522552930346733,0.1544659694839705,0.5445659108045405,1.0,0.22281434128307448,0.22281434128307448,0.12067411151014774,0.10214022977292674,10.214022977292673,,1.0,6.5,-1.0,-1.0
10172216,3,R3 Tbc Distribution (Bm65),271,Canberra,Australia,Horses - Aus/NZ,,Fast,1600,Good (4),2026-02-20T03:00:00+00:00,8,7,1167243957,7,Star Bling,4,Jess Taylor,N J Olive,Canberra,56.5,5,m,22.0,100.0,100.0,18.75,50.0,75350.0,16.0,3.0,3.0,2.0,7.0,2.0,6.0,1.0,3.0,0.0,5.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,2.0,2.0,x65131,x65131,Off Midfield,6,2,3,3.6666666666666665,1.0,1.6666666666666667,3.2,0.4,0.6,3.1666666666666665,1.3,2.3333333333333335,6.166666666666667,4,0,3,20.0,1.0,8.0,3.0,10.0,1.0,11.0,5.0,8.0,6.0,9.0,6.0,14.0,5.0,9.0,8.5,,8.5,FLUC2,7,L,finished,0,0,False,True,7,7,1.0,True,True,100.0,0.31375661375661373,0.805570818070818,0.6169818376068376,0.5,0.7016666666666667,0.6705004685547485,0.4195766270013922,3.0,6-9,middle,False,0.2,1,0.0,0.11860465116279069,78,11.54,0.9522552930346733,0.11743528201611521,0.6191377445733571,1.0,0.2394935380074732,0.2394935380074732,0.09900869016492479,0.1404848478425484,14.048484784254839,,1.0,8.5,-1.0,-1.0
10172291,6,R6 Kia Evening Star (Bm78),272,Canterbury,Australia,Horses - Aus/NZ,,Fast,1550,Good (4),2026-02-20T09:30:00+00:00,8,7,1167252004,6,Ivan's Hero,7,Siena Grima,C J Waller,Rosehill,56.5,6,g,63.0,95.0,95.0,14.63,46.34,422325.0,41.0,6.0,9.0,4.0,25.0,5.0,10.0,1.0,6.0,0.0,6.0,1.0,5.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,310121,310121,Off Pace,6,3,5,3.0,1.0,1.3333333333333333,3.0,0.6,0.8,1.7166666666666668,0.2,0.7999999999999999,6.666666666666667,5,2,6,21.0,1.0,8.0,2.0,10.0,1.0,11.0,10.0,10.0,1.0,10.0,3.0,7.0,4.5,4.8,4.6,4.8,4.6,FLUC2,3,P,finished,0,1,False,True,7,7,1.0,True,True,95.0,0.2214814814814815,0.8555555555555555,0.7186706349206349,0.4,0.9100000000000001,0.6522222222222223,0.41633063890759214,2.0,3-6,middle,False,0.16666666666666666,2,0.0,0.06595744680851064,86,5.81,0.7423596195151887,0.21947092628895565,0.5788167419490632,1.0,0.2699371735355316,0.2699371735355316,0.17848781159619886,0.09144936193933273,9.144936193933273,0.20000000000000018,1.0,4.6,-1.0,-1.0
10172303,3,R3 Sportsbet Victoria Gold Cup,279,Caulfield,Australia,Horses - Aus/NZ,,Fast,2000,Good (4),2026-02-21T02:20:00+00:00,8,7,1167252817,8,Sun Gift,2,Craig Williams,D T O'Brien,Flemington,54.0,5,m,35.0,96.0,96.0,22.73,59.09,275805.0,22.0,5.0,8.0,0.0,17.0,5.0,4.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,7x2112,7x2112,Midfield,6,2,5,2.6666666666666665,1.0,1.3333333333333333,1.8,0.4,1.0,1.5333333333333332,0.1,0.5,3.6666666666666665,3,1,5,21.0,2.0,8.0,1.0,9.0,1.0,8.0,2.0,7.0,3.0,9.0,7.0,13.0,4.2,5.0,5.5,6.0,5.5,FLUC2,2,P,finished,0,1,False,True,7,7,1.0,True,True,96.0,0.3180392156862745,0.8833333333333334,0.7242640692640694,0.3333333333333333,0.9450000000000001,0.6671428571428571,0.4868941515973377,3.0,3-6,staying,False,0.16666666666666666,2,0.0,0.1734375,120,17.5,0.7869131635471004,0.18308059161822235,0.6120810904275916,1.0,0.24921959714687664,0.24921959714687664,0.15318816976199923,0.09603142738487741,9.60314273848774,0.5,1.0,5.5,-1.0,-1.0
10172356,6,R6 My Racehorse - It's Showtime (Bm66),590,Seymour,Australia,Horses - Aus/NZ,,Slow,1400,Good (4),2026-02-20T04:35:00+00:00,10,8,1167260540,4,Princess Toro,3,Harry Coffey,Archie Alexander,Ballarat,60.0,4,m,49.0,92.0,92.0,28.57,50.0,88860.0,14.0,4.0,1.0,2.0,10.0,3.0,2.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,138168,138168,Midfield,6,2,3,4.5,1.0,5.0,5.2,0.2,0.4,3.8166666666666664,0.2,4.566666666666666,18.666666666666668,6,0,6,28.0,8.0,10.0,6.0,13.0,1.0,9.0,8.0,10.0,3.0,13.0,1.0,9.0,5.0,9.0,8.5,8.0,8.5,FLUC2,4,P,finished,0,0,False,True,8,8,1.0,True,True,92.0,0.3072727272727273,0.5291666666666667,0.390719696969697,0.3333333333333333,0.5333333333333334,0.6379242665900339,0.4613526478960266,3.0,6-9,middle,False,0.2,1,0.0,0.13061224489795917,139,12.95,0.6106627799938632,0.11743528201611521,0.44360283905859293,2.0,0.19874720591491157,0.19874720591491157,0.09398239857875475,0.10476480733615683,10.476480733615682,-0.5,1.0,8.5,-1.0,-1.0
10172606,5,R5 Everyone Needs A Steiger Hcp (C2),196,Albany,Australia,Horses - Aus/NZ,,Fast,1232,Good (4),2026-02-21T07:58:00+00:00,9,9,1167283282,7,Four Seas,8,Casey Hunter,Casey Hunter,Robinson,57.0,4,m,77.0,100.0,100.0,9.09,45.45,35292.0,11.0,1.0,1.0,3.0,7.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,7.0,1.0,4.0,0.0,4.0,0.0,8.0,1.0,18x335,18x335,Pace,6,1,4,3.8333333333333335,1.0,3.6666666666666665,4.4,0.0,0.6,2.283333333333333,1.3,2.0,10.466666666666667,3,3,5,21.0,5.0,12.0,3.0,12.0,3.0,10.0,3.0,6.0,8.0,13.0,1.0,11.0,4.6,7.5,7.0,,7.0,FLUC2,6,L,finished,0,0,False,True,9,9,1.0,True,True,100.0,0.20595238095238097,0.6956060606060607,0.46939170025376925,0.16666666666666666,0.7350000000000001,0.64,0.35356199359199836,4.0,6-9,sprint,False,0.16666666666666666,2,0.0,0.19090909090909092,14,21.43,0.9522552930346733,0.14322451078837156,0.5488303618644823,1.0,0.21732388445630882,0.21732388445630882,0.1164188503621432,0.10090503409416562,10.090503409416563,,1.0,7.0,-1.0,-1.0
10176043,4,R4 Club Forster/Sporties (Bm50),648,Tuncurry,Australia,Horses - Aus/NZ,,Normal,1400,Good (4),2026-02-21T05:05:00+00:00,10,10,1167529987,5,Rivoli Star,5,Peter Graham,Peter Graham,Port Macquarie,57.5,6,g,28.0,100.0,100.0,10.71,14.29,42675.0,28.0,3.0,0.0,1.0,13.0,3.0,12.0,0.0,3.0,0.0,6.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,6.0,2.0,158581,158581,Off Midfield,6,2,2,4.666666666666667,1.0,4.666666666666667,5.4,0.2,0.2,3.5499999999999994,0.5,2.733333333333333,38.333333333333336,3,1,3,14.0,1.0,9.0,8.0,14.0,5.0,10.0,8.0,10.0,5.0,6.0,1.0,5.0,11.0,8.5,9.0,,9.0,FLUC2,6,L,finished,0,0,False,True,10,10,1.0,True,True,100.0,0.23025641025641028,0.6409401709401711,0.4169406737053797,0.3,0.7016666666666668,0.5999083935741608,0.25386385985642024,5.0,9-12,middle,False,0.2,1,0.0,0.08936170212765958,39,7.69,0.9522552930346733,0.11074918566775244,0.5398172992233823,1.0,0.18217559062533825,0.18217559062533825,0.09211109903297501,0.09006449159236324,9.006449159236324,,1.0,9.0,-1.0,-1.0
10176149,3,R3 Tobin Brothers Funerals Mdn Plate,217,Ballarat,Australia,Horses - Aus/NZ,,Fast,1000,Good (4),2026-02-22T03:30:00+00:00,13,9,1167540314,8,Carpe Astra,9,Zac Spain,Michael Hickmott,Wellington SA,57.0,3,f,100.0,100.0,100.0,0.0,66.67,9850.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,362,362,Leader,5,2,4,2.6,1.0,3.6666666666666665,2.6,0.4,0.8,2.92,1.8,2.2666666666666666,4.666666666666667,4,0,5,18.0,2.0,10.0,6.0,11.0,3.0,8.0,1.0,7.0,1.0,9.0,,,4.2,4.5,4.4,4.4,4.4,FLUC2,2,P,finished,0,1,False,True,9,9,1.0,True,True,100.0,0.18000000000000002,0.7582539682539682,0.616031746031746,0.25,0.6833333333333333,0.6572878267667399,0.37219850865741055,3.0,3-6,sprint,False,0.3333333333333333,2,50.0,0.09172932330827067,125,8.8,0.9522552930346733,0.22957935258638154,0.58450467241404,1.0,0.32670570683639794,0.32670570683639794,0.18889895600484155,0.13780675083155638,13.78067508315564,0.0,1.0,4.4,-1.0,-1.0
