model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio
0-5%,3548,83,2.3,3.3,3.6,0.71
5-7%,4155,209,5.0,6.1,7.0,0.82
7-10%,2146,165,7.7,8.5,10.2,0.91
10-15%,4114,470,11.4,11.9,14.0,0.96
15-25%,2785,621,22.3,19.0,23.9,1.17
25%+,271,107,39.5,31.3,40.9,1.26
