breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge
price_band,9-12,186,21,186.0,29.0,0.15591397849462366,0.11290322580645161,10.10483870967742,0.07538013886764701
price_band,12-20,121,11,121.0,15.0,0.12396694214876033,0.09090909090909091,12.446280991735538,0.07481792593289173
price_band,3-6,11,3,11.0,4.3,0.3909090909090909,0.2727272727272727,5.1000000000000005,0.0811972824060685
price_band,6-9,155,16,155.0,-29.5,-0.19032258064516128,0.1032258064516129,7.541935483870968,0.07394076775050737
track,Sandown,7,4,7.0,39.0,5.571428571428571,0.5714285714285714,11.071428571428571,0.07244055236508842
track,Rosehill,7,4,7.0,27.5,3.9285714285714284,0.5714285714285714,10.214285714285714,0.07463612372178273
track,Wyong,11,4,11.0,24.5,2.227272727272727,0.36363636363636365,8.272727272727273,0.08851695875420565
track,Launceston,13,3,13.0,13.8,1.0615384615384615,0.23076923076923078,8.753846153846153,0.08296194633311851
track,Goulburn,4,2,4.0,13.5,3.375,0.5,9.75,0.07157161174416803
track,Gunnedah,1,1,1.0,12.0,12.0,1.0,13.0,0.06983738750140361
track,Penola,1,1,1.0,11.0,11.0,1.0,12.0,0.058035019162493054
track,Wagga,2,1,2.0,9.0,4.5,0.5,9.25,0.07408214727460585
track,Taree,3,1,3.0,9.0,3.0,0.3333333333333333,10.5,0.07014714526899697
track,Eagle Farm,12,2,12.0,9.0,0.75,0.16666666666666666,9.958333333333334,0.07040544116114397
track,Otaki,1,1,1.0,8.5,8.5,1.0,9.5,0.0826516759810878
track,Riccarton,2,1,2.0,8.0,4.0,0.5,9.5,0.056292259105491294
track,Geelong,4,1,4.0,8.0,2.0,0.25,9.75,0.08239711798088013
track,Towong,3,1,3.0,8.0,2.6666666666666665,0.3333333333333333,8.666666666666666,0.10024710853630153
track,Warwick Farm,5,1,5.0,8.0,1.6,0.2,9.9,0.07433604980415061
track,Queanbeyan,3,1,3.0,8.0,2.6666666666666665,0.3333333333333333,10.333333333333334,0.0731402163111698
track,Port Macquarie,5,1,5.0,7.0,1.4,0.2,12.2,0.07264208315795634
track,Pukekohe,6,1,6.0,7.0,1.1666666666666667,0.16666666666666666,10.5,0.06342103427683628
track,Kembla Grange,5,1,5.0,6.0,1.2,0.2,9.7,0.09783847674529844
track,Pinjarra,2,1,2.0,6.0,3.0,0.5,7.25,0.05655905497593226
track,Gold Coast Poly,2,1,2.0,5.5,2.75,0.5,10.25,0.07936565915596125
track,Albany,3,1,3.0,5.5,1.8333333333333333,0.3333333333333333,9.833333333333334,0.058345057654233014
track,Warrnambool,6,1,6.0,5.0,0.8333333333333334,0.16666666666666666,8.583333333333334,0.07370651625848516
track,Doomben,5,1,5.0,5.0,1.0,0.2,10.6,0.08516470717456898
track,Alice Springs,3,1,3.0,5.0,1.6666666666666667,0.3333333333333333,9.166666666666666,0.10063380804146453
track,Ararat,3,1,3.0,5.0,1.6666666666666667,0.3333333333333333,9.5,0.06157943494498175
track,Morphettville,5,1,5.0,4.5,0.9,0.2,10.4,0.06713370090680186
track,Terang,3,1,3.0,4.0,1.3333333333333333,0.3333333333333333,8.0,0.07620486163910722
track,Wanganui,5,1,5.0,3.5,0.7,0.2,9.8,0.09690316482397218
track,Mornington,5,1,5.0,3.0,0.6,0.2,10.5,0.06416024374456186
track,Mackay,8,1,8.0,2.0,0.25,0.125,8.9375,0.06382767244006085
track,Toowoomba,12,2,12.0,1.5,0.125,0.16666666666666666,9.041666666666666,0.07329447447428176
track,Cairns,8,1,8.0,1.0,0.125,0.125,10.8125,0.09105707133455201
track,Ascot,11,1,11.0,0.0,0.0,0.09090909090909091,10.863636363636363,0.06263505941197191
track,Gold Coast,8,1,8.0,0.0,0.0,0.125,10.4375,0.06809145802515373
track,Flemington,9,1,9.0,0.0,0.0,0.1111111111111111,9.944444444444445,0.0699624271044518
track,Canterbury,6,1,6.0,-0.5,-0.08333333333333333,0.16666666666666666,7.516666666666667,0.07901307469603511
track,Tamworth,1,0,1.0,-1.0,-1.0,0.0,13.0,0.06186715560189922
track,Stawell,1,0,1.0,-1.0,-1.0,0.0,9.5,0.10100801440009693
track,Taupo,1,0,1.0,-1.0,-1.0,0.0,8.0,0.05654004597601282
track,Warracknabeal,1,0,1.0,-1.0,-1.0,0.0,8.0,0.07599650437220899
track,Mt Isa,1,0,1.0,-1.0,-1.0,0.0,13.0,0.0886854477368457
track,Northam,1,0,1.0,-1.0,-1.0,0.0,13.0,0.06730831888599005
track,Rockingham,1,0,1.0,-1.0,-1.0,0.0,7.0,0.0605665786544769
track,Riccarton Park Synthetic,1,0,1.0,-1.0,-1.0,0.0,13.0,0.0818414575102972
track,Mudgee,1,0,1.0,-1.0,-1.0,0.0,10.0,0.06935617261857532
track,New Plymouth Raceway,1,0,1.0,-1.0,-1.0,0.0,7.5,0.05429565776518419
track,Orange,1,0,1.0,-1.0,-1.0,0.0,13.0,0.08880965754175124
track,Narrogin,1,0,1.0,-1.0,-1.0,0.0,6.5,0.09059438843443915
track,Kyneton,1,0,1.0,-1.0,-1.0,0.0,10.0,0.07722104523609596
track,Horsham,1,0,1.0,-1.0,-1.0,0.0,10.0,0.10710407763513091
track,Kangaroo Island,1,0,1.0,-1.0,-1.0,0.0,7.0,0.05714453224975452
track,Gawler,1,0,1.0,-1.0,-1.0,0.0,12.0,0.059824402426970805
track,Ellerslie,1,0,1.0,-1.0,-1.0,0.0,12.0,0.06708446262266743
track,Esperance,1,0,1.0,-1.0,-1.0,0.0,10.0,0.06250721210449714
track,Bordertown,1,0,1.0,-1.0,-1.0,0.0,9.0,0.06007673426749016
track,Colac,1,0,1.0,-1.0,-1.0,0.0,13.0,0.08866675279201341
track,Bunbury,1,0,1.0,-1.0,-1.0,0.0,11.0,0.07733247955096677
track,Ashburton,1,0,1.0,-1.0,-1.0,0.0,6.5,0.07322838376486825
track,Casterton,1,0,1.0,-1.0,-1.0,0.0,11.0,0.06954694854252
track,York,1,0,1.0,-1.0,-1.0,0.0,12.0,0.09430758021448822
track,Strathalbyn,1,0,1.0,-1.0,-1.0,0.0,11.0,0.06094906771678067
track,Warwick,1,0,1.0,-1.0,-1.0,0.0,9.0,0.051755946855573096
track,Tuncurry,1,0,1.0,-1.0,-1.0,0.0,10.0,0.05914799233773527
track,Tennant Creek,1,0,1.0,-1.0,-1.0,0.0,8.0,0.07138522487411206
